Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	000861040122	PALETA DE LECHE CORONADO 50/20 PZ..	PZA		NO CONTABILIZADO	0	 3			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0078	QUESO ASADERO VILLITA 3 KG..	KILOS		NO CONTABILIZADO	0	 5.295			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0086	GRANEL AJO MOLIDO KG.	KILOS		NO CONTABILIZADO	0	 1.004			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0088	TOCINO REBANADO NAYAR 1KG.	KILOS		NO CONTABILIZADO	0	 1.495			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0091	JAMON DE PIERNA REAL SAN RAFAEL.	KILOS		NO CONTABILIZADO	0	 0.285			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0095	QUESO MOZZARELLA ALPINO 2K	KILOS		NO CONTABILIZADO	0	 1.44			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0098	TAMARINDO KG. - BERKEL	KILOS		NO CONTABILIZADO	0	 0.688			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0099	FLOR DE JAMAICA KG. - BERKEL	KILOS		NO CONTABILIZADO		 0.67			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765128	PASTA P/SOPA YEMINA ESTRELLA #2 20/200 GRS..	PZA		NO CONTABILIZADO		 4			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765135	PASTA P/SOPA YEMINA SEMILLA D/MELON 24/200 GR..	PZA		NO CONTABILIZADO		 4			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765135	PASTA P/SOPA YEMINA SEMILLA D/MELON 24/200 GR..	PZA		NO CONTABILIZADO		 4			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765159	PASTA P/SOPA YEMINA FIDEO MED. PRECORT. 24/200 GR..	PZA		NO CONTABILIZADO		 23			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765166	PASTA P/SOPA YEMINA FIDEO CAMBRAY PRECORT. 24/200 GR..	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765173	PASTA P/SOPA YEMINA CODO LISO 1 20/200 GR.	PZA		NO CONTABILIZADO		 4			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765180	PASTA P/SOPA YEMINA CODO LISO 2  200 GR.	PZA		NO CONTABILIZADO		 12			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765197	PASTA P/SOPA YEMINA CONCHA 1 24/200 GR.	PZA		NO CONTABILIZADO		 7			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765210	PASTA P/SOPA YEMINA PLUMILLA #1 20/200 GR..	PZA		NO CONTABILIZADO		 4			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765234	PASTA P/SOPA YEMINA CORBATAS 24/200 GR..	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	010248765241	PASTA P/SOPA YEMINA SPAGHETTI 24/200 GRS..	PZA		NO CONTABILIZADO		 25			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0103	JAMON COCIDO DE PAVO SAN MILLAN	KILOS		NO CONTABILIZADO		 2.635			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0104	SALCHICHA HOT DOG SAZABOR	KILOS		NO CONTABILIZADO		 8.51			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0106	ADEREZO P/BOTANAS CHILCHOTA 4KG	KILOS		NO CONTABILIZADO		 1.67			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0107	GRANEL CHILE EN POLVO KG.	KILOS		NO CONTABILIZADO		 0.626			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0108	QUESO MOZARELA CUBICADO LAGUNERO 5K	PZA		NO CONTABILIZADO		 0.405			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	011848125763	ACHIOTE LIQ. LA ANITA 300 ML	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	011848205540	ACHIOTE LA ANITA 12/1KG..	PZA		NO CONTABILIZADO		 2			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	011848455570	ACHIOTE LA ANITA 50/110 GR.	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0119	GRANEL ALMENDRA ENTERA KG.	KILOS		NO CONTABILIZADO		 0.17			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	012388003177	DET. BOLD CARIÑITOS DE MAMA 850GR	PZA		NO CONTABILIZADO		 2			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	012388003191	DET. BOLD FLORES PARA MIS AMORES 500 GRS	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	012388003191	DET. BOLD FLORES PARA MIS AMORES 500 GRS	PZA		NO CONTABILIZADO		 1			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	012388003207	DET. BOLD 3 FLORES P. MIS AMORES 18/850 GRS	PZA		NO CONTABILIZADO		 2			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0124	QUESO TIPO OAXACA LAGUNERO 3KG.	KILOS		NO CONTABILIZADO		 1.53			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0125	QUESO ASADERO LAGUNERO BARRA DE 2.5  KG.	KILOS		NO CONTABILIZADO		 1.3			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0127	QUESO PANELA CANASTA  DURANGUEÑO 2KG.	KILOS		NO CONTABILIZADO		 0.355			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0130	QUESO CHIHUAHUA  ILUSION 2.5KG.	KILOS		NO CONTABILIZADO		 0.5			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0132	JAMON PIERNITA ZWAN 2.5K	KILOS		NO CONTABILIZADO		 1.835			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0133	SALCHICHA DE PAVO ZWAN KG	KILOS		NO CONTABILIZADO		 4.695			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	0134	GRANEL UVA PASA KG.	KILOS		NO CONTABILIZADO		 5.668			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	013602000101	REXAL 100/50 GRS..	PZA		NO CONTABILIZADO		 2			 $0.00	 11,585.753	Totales:	
Folio 	805	SIROTA		01	20230401-855	14	14	Comentarios: 	MERMAS	SAL INVENT ROTATIVO	Tipo de Movimiento: 	Centro de Costos: 	Estatus: 	Autorizado	Fecha de elaboración: 	01-04-2023	Referencia: 	Entrega: 	Fecha de afectación: 		Recibe: 	Descripción	U. M.	Cve. Gto.	Indice de Póliza	Localización	Cantidad	Costo Unitario	Importe	Artículo	014563000209	AVENA N1 BOLSA DE 1 KG.	PZA		NO CONTABILIZADO		 8			 $0.00	 11,585.753	Totales:	
